"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"717","RT @TVLine: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/afguA07iia ‚Ä¶",FALSE,0,NA,2016-12-10 21:04:31,FALSE,NA,"807692492330168320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Descendants2fan",117,TRUE,FALSE,NA,NA
"718","RT @BroadwayWorld: 42 Timeless (to me) #HairsprayLive GIFS You Shouldn't Live Without  https://t.co/ukibhFWVS8",FALSE,0,NA,2016-12-10 21:04:28,FALSE,NA,"807692482385420288",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiChristine",12,TRUE,FALSE,NA,NA
"719","RT @MaddieBaillio: Love these ladies.
OG Movie Tracy
OG Broadway Tracy
OG Live TV Tracy
@MarissaJWinokur @RickiLake
#hairspraylive https://‚Ä¶",FALSE,0,NA,2016-12-10 21:04:18,FALSE,NA,"807692441406930944",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","spamaccount222",55,TRUE,FALSE,NA,NA
"720","RT @HairsprayLive: We know the feeling! We're still replaying @ArianaGrande's performance in our mind! Ì†ΩÌ≤ï #HairsprayLive
https://t.co/lagRDl‚Ä¶",FALSE,0,NA,2016-12-10 21:04:18,FALSE,NA,"807692440366907393",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","betteringrande",124,TRUE,FALSE,NA,NA
"721","@DanRodricks Well done #Baltimore! Wednesday #HairsprayLive Today #ArmyNavyGameDay It's good to be in Baltimore! #BaltimoreGirl #GoNavy",FALSE,0,"DanRodricks",2016-12-10 21:04:09,FALSE,NA,"807692403859746817","26458435","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","FriendOfPimlico",0,FALSE,FALSE,NA,NA
"722","RT @TVLine: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/afguA07iia ‚Ä¶",FALSE,0,NA,2016-12-10 21:04:00,FALSE,NA,"807692366006128640",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","unicorn_tvd",117,TRUE,FALSE,NA,NA
"723","RT @NBCTheVoice: Go backstage at #HairsprayLive with #TheVoice and @IAMJHUD before the musical event of the year kicks off at 8/7c on @nbc.‚Ä¶",FALSE,0,NA,2016-12-10 21:03:55,FALSE,NA,"807692344178769920",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","907akbunny",82,TRUE,FALSE,NA,NA
"724","RT @HairsprayLive: Love #HairsprayLive with all your heart? Relive your favorite moments now! Ì†ΩÌ≤ñ Ì†ºÌæ∂
DVD: https://t.co/jWJXs4piPu
CD: https://‚Ä¶",FALSE,0,NA,2016-12-10 21:03:54,FALSE,NA,"807692337509863424",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","Chicowabu415",95,TRUE,FALSE,NA,NA
"725","JHud was too skinny to be playing Motormouth on #HairsprayLive",FALSE,1,NA,2016-12-10 21:03:41,FALSE,NA,"807692285098029057",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","man_crush",0,FALSE,FALSE,NA,NA
"726","RT @TVLine: .@TVLine's Performer(s) of the Week: #HairsprayLive's @IAMJHUD and @DoveCameron https://t.co/afguA07iia ‚Ä¶",FALSE,0,NA,2016-12-10 21:03:36,FALSE,NA,"807692265711894528",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Kingson24601",117,TRUE,FALSE,NA,NA
